Match_No,Runs,Opponent,Ground,Date,Match_Type
579,29,South Africa,Indore,14-Jan-24,T20
580,0,South Africa,Bengaluru,17-Jan-24,T20
581,1,South Africa,New York,05-Jun-24,T20
582,4,South Africa,New York,09-Jun-24,T20
583,0,Afghanistan,New York,12-Jun-24,T20
584,24,Afghanistan,Bridgetown,20-Jun-24,T20
585,37,Ireland,North Sound,22-Jun-24,T20
586,0,Pakistan,Gros Islet,24-Jun-24,T20
587,9,U.S.A.,Providence,27-Jun-24,T20
588,76,Afghanistan,Bridgetown,29-Jun-24,T20
589,24,Bangladesh,Colombo (RPS),02-Aug-24,ODI
590,14,Australia,Colombo (RPS),04-Aug-24,ODI
591,20,England,Colombo (RPS),07-Aug-24,ODI
592,6,South Africa,Chennai,19-Sep-24,Test
593,17,Sri Lanka,Chennai,19-Sep-24,Test
594,47,Sri Lanka,Kanpur,27-Sep-24,Test
595,29,Sri Lanka,Kanpur,27-Sep-24,Test
596,0,Bangladesh,Bengaluru,16-Oct-24,Test
597,70,Bangladesh,Bengaluru,16-Oct-24,Test
598,1,Bangladesh,Pune,24-Oct-24,Test
599,17,Bangladesh,Pune,24-Oct-24,Test
600,4,New Zealand,Wankhede,01-Nov-24,Test
601,1,New Zealand,Wankhede,01-Nov-24,Test
602,5,New Zealand,Perth,22-Nov-24,Test
603,100,New Zealand,Perth,22-Nov-24,Test
604,7,New Zealand,Adelaide,06-Dec-24,Test
605,11,New Zealand,Adelaide,06-Dec-24,Test
606,3,Australia,Brisbane,14-Dec-24,Test
607,36,Australia,Melbourne,26-Dec-24,Test
608,5,Australia,Melbourne,26-Dec-24,Test
609,17,Australia,Sydney,03-Jan-25,Test
610,6,Australia,Sydney,03-Jan-25,Test
611,5,England,Cuttack,09-Feb-25,ODI
612,52,England,Ahmedabad,12-Feb-25,ODI
613,22,Bangladesh,Dubai (DICS),20-Feb-25,ODI
614,100,Pakistan,Dubai (DICS),23-Feb-25,ODI
615,11,New Zealand,Dubai (DICS),02-Mar-25,ODI
616,84,Australia,Dubai (DICS),04-Mar-25,ODI
617,1,New Zealand,Dubai (DICS),09-Mar-25,ODI
